http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
        62   61.97378(54)#                  
        63   62.97755(64)#                  
        64   63.98347(75)#                  
        65   64.98792(86)#                  
_________________________________________________________________________
24  Cr  42   42.00643(32)#      0.0()         51.9961(6)        
        43   42.99771(24)#                  
        44   43.985550(50)#                 
        45   44.97964(54)                   
        46   45.968359(21)                  
        47   46.962900(15)                  
        48   47.954032(8)                   
        49   48.9513357(26)                 
        50   49.9460442(11)     0.04345(13) 
        51   50.9447674(11)                 
        52   51.9405075(8)      0.83789(18) 
        53   52.9406494(8)      0.09501(17) 
        54   53.9388804(8)      0.02365(7)  
        55   54.9408397(8)                  
        56   55.9406531(20)                 
        57   56.9436130(20)                 
        58   57.94435(22)                   
        59   58.94859(26)                   
        60   59.95008(23)                   
        61   60.95472(27)                   
        62   61.95661(36)                   
        63   62.96186(32)#                  
        64   63.96441(43)#                  
        65   64.97016(54)#                  
        66   65.97338(64)#                  
        67   66.97955(75)#                  
_________________________________________________________________________
25  Mn  44   44.00687(54)#      0.0()         54.938045(5)      
        45   44.99451(32)#                  
        46   45.98672(12)#                  
        47   46.97610(17)#                  
        48   47.96852(12)                   
        49   48.959618(26)                  
        50   49.9542382(11)                 
        51   50.9482108(11)                 
        52   51.9455655(21)                 
        53   52.9412901(9)                  
        54   53.9403589(14)                 
        55   54.9380451(7)      1.0000()    
        56   55.9389049(7)                  
        57   56.9382854(20)                 
        58   57.939980(30)                  
        59   58.940440(30)                  
        60   59.942910(90)                  
        61   60.94465(24)                   
        62   61.94843(24)                   
        63   62.95024(28)                   
        64   63.95425(29)                   
        65   64.95634(58)                   
        66   65.96108(43)#                  
        67   66.96414(54)#                  
        68   67.96930(64)#                  
        69   68.97284(86)#                  
_________________________________________________________________________
26  Fe  45   45.01458(24)#      0.0()         55.845(2)         
        46   46.00081(38)#                  
        47   46.99289(28)#                  
        48   47.980500(80)#                 
        49   48.97361(16)#                  
        50   49.962990(60)                  
        51   50.956820(16)                  
        52   51.948114(7)                   
        53   52.9453079(19)                 
        54   53.9396105(7)      0.05845(35) 
        55   54.9382934(7)                  
        56   55.9349375(7)      0.91754(36) 
        57   56.9353940(7)      0.02119(10) 
        58   57.9332756(8)      0.00282(4)  
        59   58.9348755(8)                  
        60   59.934072(4)                   
        61   60.936745(21)                  
        62   61.936767(16)                  
        63   62.94037(18)                   
        64   63.94120(30)                   
        65   64.94538(26)                   
        66   65.94678(32)                   
        67   66.95095(45)                   
        68   67.95370(75)                   
        69   68.95878(54)#                  
        70   69.96146(64)#                  
        71   70.96672(86)#                  
        72   71.96962(86)#                  
_________________________________________________________________________
27  Co  47   47.01149(54)#      0.0()         58.933195(5)      
        48   48.00176(43)#                  
        49   48.98972(28)#                  
        50   49.98154(18)#                  
        51   50.97072(16)#                  
        52   51.963590(70)#                 
        53   52.954219(19)                  
        54   53.9484596(8)                  
        55   54.9419990(8)                  
        56   55.9398393(23)                 
        57   56.9362914(8)                  
        58   57.9357528(13)                 
        59   58.9331950(7)      1.0000()    
        60   59.9338171(7)                  
        61   60.9324758(10)                 
        62   61.934051(21)                  
        63   62.933612(21)                  
        64   63.935810(21)                  
        65   64.936478(14)                  
        66   65.93976(27)                   
        67   66.94089(34)                   
        68   67.94487(34)                   
        69   68.94632(36)                   
        70   69.95100(90)                   
        71   70.95290(90)                   
        72   71.95781(64)#                  
        73   72.96024(75)#                  
        74   73.96538(86)#                  
        75   74.96833(86)#                  
_________________________________________________________________________
28  Ni  48   48.01975(54)#      0.0()         58.6934(4)        
        49   49.00966(43)#                  
        50   49.99593(28)#                  
        51   50.98772(28)#                  
        52   51.975680(90)#                 
        53   52.96847(17)#                  
        54   53.957910(50)                  
        55   54.951330(12)                  
        56   55.942132(12)                  
        57   56.9397935(19)                 
        58   57.9353429(7)      0.680769(89)
        59   58.9343467(7)                  
        60   59.9307864(7)      0.262231(77)
        61   60.9310560(7)      0.011399(6) 
        62   61.9283451(6)      0.036345(17)
        63   62.9296694(6)                  
        64   63.9279660(7)      0.009256(9) 
        65   64.9300843(7)                  
        66   65.9291393(15)                 
        67   66.931569(3)                   
        68   67.931869(3)                   
        69   68.935610(4)                   
        70   69.93650(37)                   
        71   70.94074(40)                   
        72   71.94209(47)                   
        73   72.94647(32)#                  
        74   73.94807(43)#                  
        75   74.95287(43)#                  
        76   75.95533(97)#                  
        77   76.96055(54)#                  
        78   77.96318(118)#                 
_________________________________________________________________________
29  Cu  52   51.99718(28)#      0.0()         63.546(3)        r
        53   52.98555(28)#                  
        54   53.97671(23)#                  
        55   54.96605(32)#                  
        56   55.95856(15)#                  
        57   56.949211(17)                  
        58   57.9445385(17)                 
        59   58.9394980(8)                  
        60   59.9373650(18)                 
        61   60.9334578(11)                 
        62   61.932584(4)                   
        63   62.9295975(6)      0.6915(15)  
        64   63.9297642(6)                  
        65   64.9277895(7)      0.3085(15)  
        66   65.9288688(7)                  
        67   66.9277303(13)                 
