# dumb      molec. code     name             IP   npart  coeff(1:npart) 
# produced from polyatomic_merge.srt of Irwin, after removal of all Sauval and
# Tatum species. BPz 21/08-1996
# log(Q) = sum_0^npart-1 ai log(T)^i
#
###################################################
# Partition fct for Rb Mo+ Pr Pr+ Nd Nd+ Gd Tb Tb+ Dy Dy+ Ho+ Er Er+ Yb Lu+ 
# changed to those by Sneden/Lawler (according to MOOG) by VHI 03/07-2007
###################################################
# Ionisation potential updated from NIST for Y, Nb, Ho, Hf, Ir, Th (largest changes Th: 6.08->6.307; Hf:7.018->6.825) by VHI 03/07-2007
###################################################
# Ionisation pot Os changed following Colarusso 1997 (old=8.74eV) by VHi 18/01-2002
###################################################
# ThII and ThIII partition functions changed by BPz 15/09-2000.
# Irwin had: 
#    277             90.01 '              th+'  6.08    6   -5.54692278D+02  2.40410297D+02 -3.64787941D+01  1.98655925D+00  1.30338683D-02 -3.13351582D-03
#    278             90.02 '             th++' 11.531   6    7.10076650D+03 -4.15762991D+03  9.69365844D+02 -1.12510812D+02  6.50161887D+00 -1.49626283D-01
# I fit a polynomial through Morell et al. 3 values:
#   277             90.01 '              th+'  6.08    6   -12.32966d0      1.869584d0  0.0 0.0 0.0 0.0
#   278             90.02 '             th++' 11.531   6    -7.775563d0     1.739154d0     -4.3311156D-02 0.0 0.0 0.0
# changed to a fit of Holweger partition function between 1000 and 16000K. BPz 20/09-2000
# Holweger's partition function is now hardcoded in partf.f 
#
###################################################
# Note that partf.f replaces UII and UIII partition functions by direct summation of the energy 
# levels (hardcoded in partf.f BPz 20/09-2000
###################################################
   112             35.01 '              br+' 11.814   6   -4.97900479D+02  2.81076996D+02 -6.26471147D+01  6.90761325D+00 -3.76484512D-01  8.11431780D-03
   113             35.02 '             br++' 21.805   6    6.71633101D+00 -5.19292729D+00  1.70436366D+00 -2.65714593D-01  1.97704196D-02 -5.50570330D-04
   114             36.00 '               kr'  0.000   6   -2.45290033D+02  1.54288869D+02 -3.87278378D+01  4.84901874D+00 -3.02849132D-01  7.54800999D-03
   115             36.01 '              kr+' 14.000   6   -2.02724630D+02  1.22298521D+02 -2.90311093D+01  3.41099468D+00 -1.98353302D-01  4.57079079D-03
   116             36.02 '             kr++' 24.360   6   -1.98169641D+02  1.20316704D+02 -2.86428047D+01  3.36763596D+00 -1.95638015D-01  4.50341106D-03
   117             37.00 '               rb'  0.000   6    5.03676283D+03 -3.16069504D+03  7.89175381D+02 -9.79501783D+01  6.04047992D+00 -1.47981323D-01 
   118             37.01 '              rb+'  4.177   6   -3.08135076D+01  1.86519543D+01 -4.50100128D+00  5.41312218D-01 -3.24481418D-02  7.75672414D-04
   119             37.02 '             rb++' 27.282   6    8.59416526D-01  5.74021978D-01 -2.08907062D-01  3.63826309D-02 -3.10670043D-03  1.06386007D-04
   120             38.00 '               sr'  0.000   6    6.50892101D+02 -3.40217425D+02  6.53893239D+01 -5.30225554D+00  1.23699526D-01  2.86921883D-03
   121             38.01 '              sr+'  5.695   6    1.14831179D+03 -7.13785765D+02  1.76505337D+02 -2.16727738D+01  1.32000916D+00 -3.18594119D-02
   122             38.02 '             sr++' 11.030   6   -4.58857904D-03  2.84991760D-03 -7.06034255D-04  8.72098861D-05 -5.37095954D-06  1.31940040D-07
   123             39.00 '               y '  0.000   6    3.40651384D+03 -2.16510652D+03  5.48071557D+02 -6.90145742D+01  4.32146653D+00 -1.07584489D-01
   124             39.01 '              y +'  6.217   6    2.40007747D+02 -1.65865174D+02  4.42075274D+01 -5.72622786D+00  3.63645809D-01 -9.08338755D-03
   125             39.02 '             y ++' 12.236   6   -3.04672943D+01  1.53131096D+01 -2.98576512D+00  3.01521890D-01 -1.56834902D-02  3.36484529D-04
   126             40.00 '               zr'  0.000   6   -5.86736112D+02  3.73836394D+02 -9.52007830D+01  1.21461902D+01 -7.76348813D-01  1.99265197D-02
   127             40.01 '              zr+'  6.634   6   -1.70866201D+02  1.23495311D+02 -3.46160939D+01  4.75330281D+00 -3.19539990D-01  8.44862669D-03
   128             40.02 '             zr++' 13.130   6    4.15253105D+02 -2.60809264D+02  6.51595008D+01 -8.07244914D+00  4.96869095D-01 -1.21570953D-02
   129             41.00 '               nb'  0.000   6   -5.87332235D+01  2.38289225D+01 -3.58296946D+00  2.99625062D-01 -1.84493499D-02  7.05622438D-04
   130             41.01 '              nb+'  6.759   6   -5.69845510D+02  3.31856602D+02 -7.68597025D+01  8.86460033D+00 -5.08151265D-01  1.15962503D-02
   131             41.02 '             nb++' 14.320   6    1.67962909D+02 -9.92678760D+01  2.28805528D+01 -2.54618232D+00  1.37142991D-01 -2.85112969D-03
   132             42.00 '               mo'  0.000   6    1.25471665D+04 -7.74101582D+03  1.90554068D+03 -2.33854194D+02  1.43038620D+01 -3.48722313D-01
   133             42.01 '              mo+'  7.092   6    4.16034835D+03 -2.65480884D+03  6.74631372D+02 -8.52665787D+01  5.35745654D+00 -1.33793443D-01
   134             42.02 '             mo++' 16.155   6   -8.32443303D+02  5.00876420D+02 -1.20966318D+02  1.46318940D+01 -8.84044628D-01  2.13343964D-02
   135             43.00 '               tc'  0.000   6    1.40581422D+03 -8.46319238D+02  2.03265344D+02 -2.43338864D+01  1.45265276D+00 -3.45711135D-02
   136             43.01 '              tc+'  7.278   6   -8.38699733D+02  5.17551299D+02 -1.26767791D+02  1.54323332D+01 -9.33545019D-01  2.24686576D-02
   137             43.02 '             tc++' 15.262   6   -1.37225351D+03  8.23983099D+02 -1.96461066D+02  2.33421407D+01 -1.38229048D+00  3.26484704D-02
   138             44.00 '               ru'  0.000   6   -1.13823647D+03  6.59580927D+02 -1.51995432D+02  1.74439650D+01 -9.97244021D-01  2.27601637D-02
   139             44.01 '              ru+'  7.366   6    1.96054904D+03 -1.16895626D+03  2.77734629D+02 -3.28525247D+01  1.93537332D+00 -4.54084886D-02
   140             44.02 '             ru++' 16.763   6    4.82023295D+02 -2.88030564D+02  6.90065895D+01 -8.23527932D+00  4.89496718D-01 -1.15886604D-02
   141             45.00 '               rh'  0.000   6    9.65783676D+01 -3.92519389D+01  5.03491107D+00 -6.36079573D-02 -2.90168956D-02  1.51201603D-03
   142             45.01 '              rh+'  7.463   6    2.14273814D+03 -1.25639735D+03  2.93735307D+02 -3.41995978D+01  1.98297410D+00 -4.57832269D-02
   143             45.02 '             rh++' 18.077   6   -3.52626036D+02  2.10996160D+02 -4.99107277D+01  5.86543709D+00 -3.42384299D-01  7.96144742D-03
   144             46.00 '               pd'  0.000   6   -5.05916266D+03  3.06755122D+03 -7.41260220D+02  8.92103693D+01 -5.34709856D+00  1.27741440D-01
   145             46.01 '              pd+'  8.336   6    1.63392630D+03 -9.29503960D+02  2.10179266D+02 -2.35736936D+01  1.31028981D+00 -2.88296397D-02
   146             46.02 '             pd++' 19.428   6   -6.99185246D+01  4.13687568D+01 -9.38368973D+00  1.05370155D+00 -5.87366632D-02  1.31666314D-03
   147             47.00 '               ag'  0.000   6   -7.01832277D+03  4.37878133D+03 -1.09124976D+03  1.35803213D+02 -8.43960217D+00  2.09537154D-01
   148             47.01 '              ag+'  7.576   6   -2.99246773D+03  1.83727607D+03 -4.50220055D+02  5.50486301D+01 -3.35892738D+00  8.18356488D-02
   149             47.02 '             ag++' 21.486   6   -1.05509425D+02  6.39744059D+01 -1.52011299D+01  1.80295899D+00 -1.06888841D-01  2.54066612D-03
   150             48.00 '               cd'  0.000   6   -4.33054347D+03  2.83503762D+03 -7.37087236D+02  9.52219516D+01 -6.11698355D+00  1.56413205D-01
   151             48.01 '              cd+'  8.994   6   -4.14527755D+03  2.46654549D+03 -5.85582068D+02  6.93601417D+01 -4.09944347D+00  9.67351943D-02
   152             48.02 '             cd++' 16.908   6    1.64171165D+02 -9.95893098D+01  2.40311359D+01 -2.88252062D+00  1.71823585D-01 -4.07067438D-03
