    349  '            10608.01'  'H C O +' -3.594   6   -3.26126103D+02  2.12424279D+02 -5.40857284D+01  6.77795557D+00 -4.15042851D-01  1.00225102D-02 4 1 1 6 1 8 1 99 -1
    350  '            10308.00'  'LiO H' -8.836   6   -4.71733676D+01  2.96322056D+01 -7.05414562D+00  8.27197657D-01 -4.25226323D-02  7.59157104D-04 3 1 1 3 1 8 1
    351  '            10104.00'  'BeH H' -6.474   7   -1.27699184D+03  9.44609906D+02 -2.87255878D+02  4.60693419D+01 -4.11625899D+00  1.95047775D-01 -3.83843720D-03 2 1 2 4 1
    352  '            40408.00'  'BeBeO' -9.854   6   -8.09339165D+01  6.86968088D+01 -2.08861527D+01  3.01757707D+00 -2.05117665D-01  5.38951740D-03 2 4 2 8 1
    353  '            40606.00'  'BeC C' -12.265   6   -2.10507576D+02  1.47128191D+02 -3.97440632D+01  5.26931705D+00 -3.39041045D-01  8.56915479D-03 2 4 1 6 2
    354  '            10408.00'  'BeO H' -9.289   7    7.34091136D+02 -5.87230091D+02  1.96876555D+02 -3.51894725D+01  3.53301849D+00 -1.88201052D-01 4.15106142D-03 3 1 1 4 1 8 1
    355  '            40909.00'  'BeF F' -13.168   6   -2.40175761D+01  2.87046925D+01 -1.01578630D+01  1.62668679D+00 -1.16747186D-01  3.17170431D-03 2 4 1 9 2
    356  '            40917.00'  'BeClF' -11.303   5    6.53702365D+01 -2.97944753D+01  5.12679903D+00 -3.39262878D-01  8.48618879D-03 3 4 1 9 1 17 1
    357  '            41717.00'  'BeClCl' -9.540   5    6.21377107D+01 -2.92634350D+01  5.21174017D+00 -3.57390875D-01  9.30335307D-03 2 4 1 17 2
    358  '            10105.00'  'B H H' -8.141   6   -4.07663626D+02  2.66192496D+02 -6.82832064D+01  8.62545764D+00 -5.33983133D-01  1.30609529D-02 2 1 2 5 1
    359  '            50808.00'  'B O O' -13.824   6   -1.98277121D+02  1.47065224D+02 -4.19982578D+01  5.88550109D+00 -4.00542908D-01  1.07182026D-02 2 5 1 8 2
    360  '            10106.00'  'C H H' -7.849   6   -4.68417464D+02  2.96321980D+02 -7.37339560D+01  9.07001904D+00 -5.48979569D-01  1.31635850D-02 2 1 2 6 1
    361  '            10609.00'  'C H F' -9.113   8   -9.03881124D+03  7.51668190D+03 -2.64144640D+03  5.07208371D+02 -5.72191444D+01  3.76699425D+00 -1.32505635D-01  1.88249213D-03 3 1 1 6 1 9 1
    362  '            10615.00'  'C H P' -11.313   8   -9.16072981D+03  8.58253626D+03 -3.44472145D+03  7.68250206D+02 -1.02830696D+02  8.26119222D+00 -3.68781613D-01  7.05522737D-03 3 1 1 6 1 15 1
    363  '            10617.00'  'C H Cl' -7.384   8    5.18366166D+03 -5.69443795D+03  2.58242664D+03 -6.32234492D+02  9.08097169D+01 -7.68446705D+00 3.55877464D-01 -6.97544853D-03 3 1 1 6 1 17 1
    364  '            10606.00'  'C C H' -12.069   8   -1.51497478D+04  1.34640092D+04 -5.11112969D+03  1.07446051D+03 -1.35064827D+02  1.01507026D+01 -4.22168342D-01  7.49290389D-03 2 1 1 6 2
    365  '            60606.00'  'C C C' -13.703   6   -2.20143669D+02  1.38406255D+02 -3.37781803D+01  4.10749144D+00 -2.45818240D-01  5.85945485D-03 1 6 3
    366  '            60608.00'  'C C O' -14.371   7    1.22917291D+03 -9.86332239D+02  3.30559195D+02 -5.89326335D+01  5.89088258D+00 -3.12178087D-01 6.84468887D-03 2 6 2 8 1
    367  '            60607.00'  'C N C' -13.902   6   -2.11895066D+01  2.86607603D+01 -1.05232649D+01  1.72396105D+00 -1.26193390D-01  3.49351008D-03 2 6 2 7 1
    368  '            60808.00'  'C O O' -16.561   6   -2.40560030D+02  1.67607692D+02 -4.51933052D+01  5.97099488D+00 -3.83714796D-01  9.71180362D-03 2 6 1 8 2
    369  '            60816.00'  'C O S' -14.212   6   -1.39454545D+02  1.04566435D+02 -2.96186748D+01  4.08671001D+00 -2.71414302D-01  7.07005074D-03 3 6 1 8 1 16 1
    370  '            61616.00'  'C S S' -11.862   6   -2.99995224D+01  3.45740725D+01 -1.20502894D+01  1.91750865D+00 -1.38782255D-01  3.84558964D-03 2 6 1 16 2
    371  '            10107.00'  'N H H' -7.355   7   -3.59808755D+03  2.80932328D+03 -9.13438792D+02  1.58477333D+02 -1.54725955D+01  8.06185761D-01 -1.75051888D-02 2 1 2 7 1
    372  '            50809.00'  'O B F' -15.354   6   -1.19538530D+02  9.18022217D+01 -2.63524433D+01  3.65865126D+00 -2.42513590D-01  6.25931080D-03 3 5 1 8 1 9 1
    373  '            10813.00'  'O AlH' -7.800   6   -1.36507393D+02  1.07854238D+02 -3.15149345D+01  4.40806257D+00 -2.94125011D-01  7.63781772D-03 3 1 1 8 1 13 1
    374  '            80913.00'  'O AlF' -12.753   5    8.60181447D+01 -3.96516959D+01  6.81942991D+00 -4.69629064D-01  1.22795807D-02 3 8 1 9 1 13 1
